Sentence,Type,Human,Place,Both
ไม่ทราบว่าจะติดต่ออาจารย์สยามได้ที่ไหนครับ,Person_Info,Yes,No,Yes
ติดต่ออาจารย์แพรวได้อย่างไร,Person_Info,Yes,No,Yes
ติดต่ออาจารย์อ้อมได้ยังไง,Person_Info,Yes,No,Yes
ติดต่อดอกเตอร์ได้ยังไง,Person_Info,Yes,No,Yes
ติดต่อดรได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดรต้นได้ที่ไหน,Person_Info,Yes,No,Yes
จะติดต่อดอกเตอร์ชิดได้ที่ไหน,Person_Info,Yes,No,Yes
จะติดต่ออาจารย์ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่ออาจารย์อย่างไร,Person_Info,Yes,No,Yes
จะติดต่ออาจารย์ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดอกเตอร์ได้ยังไง,Person_Info,Yes,No,Yes
จะติดต่อดรได้ยังไง,Person_Info,Yes,No,Yes
อาจารย์อยู่ไหมครับ,Person,Yes,No,No
อาจารย์อยู่ไหมคะ,Person,Yes,No,No
อาจารย์อยู่ไหมครับ,Person,Yes,No,No
อาจารย์อยู่ไหมคะ,Person,Yes,No,No
คุณอยู่ไหมครับ,Person,Yes,No,No
คุณอยู่ไหมคะ,Person,Yes,No,No
ดอกเตอร์อยู่ไหมครับ,Person,Yes,No,No
ดอกเตอร์อยู่ไหมคะ,Person,Yes,No,No
ดรอยู่ไหมครับ,Person,Yes,No,No
ดรอยู่ไหมคะ,Person,Yes,No,No
อาจารย์อยู่ไหนครับ,Place-Human,Yes,Yes,No
อาจารย์อยู่ไหนคะ,Place-Human,Yes,Yes,No
อาจารย์อยู่ไหนครับ,Place-Human,Yes,Yes,No
อาจารย์อยู่ไหนคะ,Place-Human,Yes,Yes,No
คุณอยู่ไหนครับ,Place-Human,Yes,Yes,No
คุณอยู่ไหนคะ,Place-Human,Yes,Yes,No
ดอกเตอร์อยู่ไหนครับ,Place-Human,Yes,Yes,No
ดอกเตอร์อยู่ไหนคะ,Place-Human,Yes,Yes,No
ดรอยู่ไหนครับ,Place-Human,Yes,Yes,No
ดรอยู่ไหนคะ,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่ออาจารย์ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่ออาจารย์ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดอกเตอร์ได้ที่ไหน,Place-Human,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดรได้ที่ไหน,Place-Human,Yes,Yes,No
ห้องอาจารย์อยู่ไหน,Place-Human,Yes,Yes,No
ห้องอาจารย์อยู่ทางไหน,Place-Human,Yes,Yes,No
ห้องอาจารย์อยู่ไหน,Place-Human,Yes,Yes,No
ห้องอาจารย์อยู่ทางไหน,Place-Human,Yes,Yes,No
ห้องดรอยู่ไหน,Place-Human,Yes,Yes,No
ห้องดรอยู่ทางไหน,Place-Human,Yes,Yes,No
ห้องดอกเตอร์อยู่ไหน,Place-Human,Yes,Yes,No
ห้องดอกเตอร์อยู่ทางไหน,Place-Human,Yes,Yes,No
ห้องน้ำอยู่ไหน,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องน้ำไปทางไหน,Place-Place,No,Yes,No
ห้องน้ำไปทางไหนหรอ,Place-Place,No,Yes,No
อาจารย์อยู่ชั้นไหน,Place-Human,Yes,Yes,No
อาจารย์อยู่ชั้นไหน,Place-Human,Yes,Yes,No
อาจารย์อยู่ชั้นไหน,Place-Human,Yes,Yes,No
คุณอยู่ชั้นไหน,Place-Human,Yes,Yes,No
ดรอยู่ชั้นไหน,Place-Human,Yes,Yes,No
ดอกเตอร์.อยู่ชั้นไหน,Place-Human,Yes,Yes,No
อยู่ชั้นไหน,Place-Human,Yes,Yes,No
ขอเข้าห้องน้ำหน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้องน้ำไหม,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหน,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องน้ำไปทางไหน,Place-Place,No,Yes,No
ห้องน้ำไปทางไหนหรอ,Place-Place,No,Yes,No
อยู่ชั้นไหน,Place-Human,Yes,Yes,No
ขอเข้าห้องน้ำหน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้องน้ำไหม,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหน,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องน้ำไปทางไหน,Place-Place,No,Yes,No
ห้องน้ำไปทางไหนหรอ,Place-Place,No,Yes,No
อยู่ชั้นไหน,Place-Human,Yes,Yes,No
ขอเข้าห้องน้ำหน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้องน้ำไหม,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหน,Place-Place,No,Yes,No
ห้องน้ำอยู่ไหนหรอ,Place-Place,No,Yes,No
ห้องน้ำไปทางไหน,Place-Place,No,Yes,No
ห้องน้ำไปทางไหนหรอ,Place-Place,No,Yes,No
ขอเข้าห้อง FB 301 หน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้อง FB 302 อยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้อง FB 301 อยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้อง FB 303 ไหม,Place-Place,No,Yes,No
ห้อง FB 301 อยู่ไหน,Place-Place,No,Yes,No
ห้อง FB 305 อยู่ไหนหรอ,Place-Place,No,Yes,No
ห้อง FB 306 ไปทางไหน,Place-Place,No,Yes,No
ห้อง FB 301 ไปทางไหนหรอ,Place-Place,No,Yes,No
อยู่ชั้นไหน,Place-Human,Yes,Yes,No
ขอเข้าห้อง FB 301 หน่อยครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้อง FB 301 อยู่ทางไหนหรอครับ,Place-Place,No,Yes,No
ไม่ทราบว่าห้อง FB 301 อยู่ไหนหรอครับ,Place-Place,No,Yes,No
โทษนะ มีห้อง FB 301 ไหม,Place-Place,No,Yes,No
ห้อง FB 301 อยู่ไหน,Place-Place,No,Yes,No
ห้อง FB 405 อยู่ไหนหรอ,Place-Place,No,Yes,No
